course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,remarks
HL104,15,음악 II - 클래식 기타,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,16,음악 II - 클래식 기타,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL104,17,음악 II - 클래식 기타,공통필수,교과,실습,인문소양,음악,1.0,0.0,2.0,
HL106,01,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,02,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,03,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,04,체육 II - 태권도 겨루기,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,05,체육 II - 축구,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,06,체육 II - 테니스,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,07,체육 II - 테니스,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,08,체육 II - 배드민턴,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,09,체육 II - 배드민턴,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,10,체육 II - 수영,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,11,체육 II - 수영,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,12,체육 II - 재활-웨이트트레이닝,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL106,13,체육 II - 재활-웨이트트레이닝,공통필수,교과,실습,인문소양,체육,1.0,0.0,2.0,
HL111,01,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2014~2017학번만 신청 가능
HL111,02,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2014~2017학번만 신청 가능
HL111,03,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2014~2017학번만 신청 가능
HL111,04,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2014~2017학번만 신청 가능
HL111a,01,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL111a,02,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL111a,03,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL111a,04,쓰기·읽기·말하기,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL203,01,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,02,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,03,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,04,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,05,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,06,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,07,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,08,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,09,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL203,10,English for Science Leaders II,공통필수,교과,이론,DGIST특성화,English for Science Leaders,2.0,3.0,0.0,영어강의(Delivered in English)
HL204,01,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,동일과목 : (HL102) 동서양 철학의 통시적 이해 / 2014~2017학번만 신청 가능
HL204,02,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,동일과목 : (HL102) 동서양 철학의 통시적 이해 / 2014~2017학번만 신청 가능
HL204a,01,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL204a,02,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,2018학번 이후 학번만 신청 가능
HL206,01,리더십(셀프리더십과 팀리더십) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,동일과목 : (HL110) 리더십(셀프리더십과 팀리더십) II
HL206,02,리더십(셀프리더십과 팀리더십) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,동일과목 : (HL110) 리더십(셀프리더십과 팀리더십) II
HL270a,01,융합탐구세미나 - 에너지,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),2.0,2.0,0.0,
HL270a,02,융합탐구세미나 - Fundamentals of Innovation,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),2.0,2.0,0.0,영어강의(Delivered in English)
HL301,01,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL301,02,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL301,03,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL301,04,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL301,05,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL301,06,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL301,07,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,영어강의(Delivered in English)
HL303,01,UGRP II - 약리 활성 물질의 경피 전달 전략 연구 및 전달물질 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,02,UGRP II - 나노입자를 이용한 고분해능 막단백질의 동적 거동의 관찰,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,03,"UGRP II - 생체 활동성 증진을 위한 운동신경, 근육세포 제어 및 기전 연구",공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,04,UGRP II - 액션 카메라를 이용한 사회행동 중 생쥐 시점 분석 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,05,UGRP II - 리만 제타함수의 이해,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,06,"UGRP II - 일회용 플라스틱, 빨대를 위한 친환경 셀룰로오스, 지방산 유래 바이오매스 고분자 소재 개발",공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,07,UGRP II - PDK1 활성 향상 기반 근기능 개선 물질 발굴,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,08,UGRP II - 다공성 유무기하이브리드 소재 합성 및 이의 응용 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,09,UGRP II - 노화에 의한 단백질 구조 변화와 그로 인해 나타나는 질병 기전 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,10,UGRP II - 학부생을 위한 양자광학,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,11,UGRP II - 스트레스에 의한 해마 인지유연성 조절에 관한 행동학적 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,12,UGRP II - 금속이온-유기리간드의 자기조립을 통한 다공성 분자구조체 합성 및 응용 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,13,UGRP II - 휘어진 공간에서의 양자장론,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,14,UGRP II - 생체모방화학을 통한 생명화학 반응 연구 ,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,15,"UGRP II - 단백질분해와 세포노화의 기능적 연관성, 그리고 단백질 분해 조절 약물의 처리를 통한 세포노화 조절 연구",공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,16,UGRP II - 엑소좀 구성물질 분석을 통한 암줄기세포 기원과 암세포 초기발생과정 규명,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,17,UGRP II - 학생 심리검사에 활용 가능한 EEG/ECG 측정 장치 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,18,UGRP II - 나노 에너지의 개발과 메커니즘 이해(A),공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,19,UGRP II - 나노 에너지의 개발과 메커니즘 이해(B),공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,20,UGRP II - 운영 조건에 따른 리튬이차전지 열화 거동 분석 및 진단 기술 도출,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,21,UGRP II - 단펄스 광원을 활용한 internet of things (IoT) 응용 소자에 대한 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,22,UGRP II - 차세대에너지변환소자용 슈퍼이온전도성 고체전해질 신소재 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,23,UGRP II - 자율주행 자동차를 위한 실시간 스케줄링 기술 개발 ,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,24,UGRP II - 곤충애벌레로부터 분리된 플라스틱 분해 장내 미생물을 이용한 친 환경 플라스틱 제거 기술 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,25,UGRP II - 컴퓨터 시스템 보안의 이해와 안전한 컴퓨터 시스템 설계,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,26,UGRP II - 자율주행자동차 센서 융합 및 통합 주행제어 알고리즘 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,27,UGRP II - 강화학습을 이용한 에너지 효율적인 초고밀도 네트워크 디자인,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,28,UGRP II - 3D 바이오프린터를 이용한 복합구동 (전기장 /자기장) 하이드로젤 마이크로로봇 제작,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,29,UGRP II - 고속 주행가능한 4족 로봇개발 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,30,UGRP II - 인지 감각형 후각 센서 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,31,UGRP II - 고전하이동도 유기 반도체를 이용한 고선형동적범위 이미지 센서의 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,32,UGRP II - 강화학습을 위한 meta-learning algorithm 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,33,UGRP II - 탄성계수를 조절할 수 있는 추진기를 가지는 생체모방 수중 유영 로봇에 관한 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,34,UGRP II - 전기자동차 구동 시스템의 효율 향상에 관한 실험적 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,35,UGRP II - 전상담 데이터 기반의 대화형 챗봇의 인터랙션 방식을 통한 챗봇의 설계 및 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,36,UGRP II - 산업용 로봇의 힘/위치 제어 연동 모션 제어 원천기술 연구,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,37,UGRP II - 빙판길에서 웨어러블 로봇의 보행 안정화 알고리즘 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,38,UGRP II - 항체공학을 이용한 차세대 면역 항암체 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,39,UGRP II - 혁신사회의 탄생,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,40,UGRP II - 과학관의 전시기획 연구 및 전시물 디자인을 위한 프로젝트 ,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,41,UGRP II - DGIST 일대 조류 모니터링의 시민참여과학 프로그램으로의 활용,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL303,42,UGRP II - 수강 신청 솔루션 개발,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL305,01,글로벌리더십 (리더십 실습) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,
HL305,02,글로벌리더십 (리더십 실습) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,
HL306,01,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,"동일과목 : (HL202) 기업가 정신과 사회적 책임, 2014~2017학번만 신청 가능"
HL306,02,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,"동일과목 : (HL202) 기업가 정신과 사회적 책임, 2014~2017학번만 신청 가능"
HL306a,01,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,2018학번 이후 학번만 신청 가능
HL306a,02,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,2018학번 이후 학번만 신청 가능
HL320,01,근대 사회와 사상,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL321,01,현대 사회와 윤리,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL322,01,법과 사회,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL323,01,동서양문학의 이해,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL324,01,소설의 이해,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL325,01,글로벌 정치경제,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL326,01,경제학 입문,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL327,01,과학기술과 현대사회,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL328,01,과학기술사의 주요장면,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL329,01,과학철학의 쟁점,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL330,01,인문사회과학 특강,교선필수,교과,이론,인문소양,인문사회,2.0,2.0,0.0,
HL330,02,인문사회과학 특강,교선필수,교과,이론,인문소양,인문사회,2.0,2.0,0.0,
HL331a,01,비판적 사고와 글쓰기,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL338,01,언어학입문,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL344,01,"인문학특강 - 마음, 두뇌, 컴퓨터 - 현대 심리철학",교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL344,02,인문학특강 - 산업과 법,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL345,01,한국정치의 이해 ,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL346,01,한국 사회의 이해,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,
HL370a,01,생체분자론(이론),교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),2.0,2.0,0.0,영어강의(Delivered in English)
HL370b,01,생체분자론(실습),교선필수,교과,실습,DGIST특성화,융복합(UGRP/기타),1.0,0.0,2.0,
HL472,01,UGRP Ⅳ - 팔라듐 촉매와 transient directing group을 이용한 sp3 C-H arylation 반응 연구,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,02,UGRP Ⅳ - 사영공간에 대한 조합적 연구 및 컴퓨터 영상 분야에의 응용,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,03,UGRP Ⅳ - 휘어진 공간에서의 양자장론,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,04,UGRP Ⅳ - 병원성 프리온 신경세포 내 글루코스 대사회복 연구 ,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,05,UGRP Ⅳ - 금속촉매요소를 이용한 생체모방 화학에 관한 연구 ,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,06,UGRP Ⅳ - 운영 조건에 따른 리튬이차전지 열화 거동 분석 및 진단 기술 도출,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,07,UGRP Ⅳ - 첨단 운전자 보조 시스템을 위한 실시간 스케줄링 기술 개발,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,08,UGRP Ⅳ - 동물원 동물의 복지 향상을 위한 시스템 개발(동물 먹이활동 개선을 위한 자동먹이공급 시스템 개발),교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,09,UGRP Ⅳ - 자율주행 트랙터용 다중 센서 융합 및 주행제어 알고리즘 개발,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
HL472,10,UGRP Ⅳ - X선 결정학을 이용한 배터리 소재의 2가 이온 탈삽입 화학반응 연구,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),3.0,3.0,0.0,
