id,course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,limit,limit2,split,remarks
200,SE253,01,유전자의 구조와 발현(이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,30,0,"3,3",2018학번 이후 학번만 신청 가능
201,SE253,02,유전자의 구조와 발현(이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,30,0,"3,3",2018학번 이후 학번만 신청 가능
202,SE271,01,객체지향 프로그래밍 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,50,0,"3,3",동일과목 : (SE375) 객체지향 프로그래밍 (이.공)
203,SE272,01,디자인 기획과 전략(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,30,0,6,
204,SE324a,01,수치해석 (이.공),교선필수,교과,이론,기초과학,수학,3.0,3.0,0.0,50,0,"3,3","동일과목 : (SE324) 수치해석 (이.공), (SE422) 수치해석 (이.공)"
205,SE325,01,편미분 방정식 (이.공),교선필수,교과,이론,기초과학,수학,3.0,3.0,0.0,50,0,"3,3",
206,SE327a,01,고급대수 (이),교선필수,교과,이론,기초과학,수학,3.0,3.0,0.0,50,0,"3,3",동일과목 : (SE327) 수학특강(이) / 영어강의(Delivered in English)
207,SE328,01,위상수학(이),교선필수,교과,이론,기초과학,수학,3.0,3.0,0.0,50,0,"3,3",영어강의(Delivered in English)
208,SE333a,01,양자역학의 응용 (이.공),교선필수,교과,이론,기초과학,물리,3.0,3.0,0.0,30,0,"3,3",동일과목 : (SE333) 양자역학과 나노물리 (이.공) / 영어강의(Delivered in English)
209,SE334a,01,고체물리 (이.공),교선필수,교과,이론,기초과학,물리,3.0,3.0,0.0,60,0,"3,3",동일과목 : (SE334) 고체의 성질 (이) / 영어강의(Delivered in English)
210,SE336,01,응용물리 실험(이.공),교선필수,교과,실습,기초과학,물리,2.0,0.0,4.0,24,0,"4,4",
211,SE345,01,유기반응의 이해 (이),교선필수,교과,이론,기초과학,화학,3.0,3.0,0.0,50,0,"3,3",영어강의(Delivered in English) / 2014~2017학번만 신청 가능
212,SE346b,01,심화화학실험 Ⅱ (물리.무기화학)(이),교선필수,교과,실습,기초과학,화학,2.0,0.0,4.0,18,0,"4,4",
213,SE346b,02,심화화학실험 Ⅱ (물리.무기화학)(이),교선필수,교과,실습,기초과학,화학,2.0,0.0,4.0,18,0,"4,4",
214,SE350,01,생명과학특강 I (이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,24,0,"3,3",
215,SE354,01,생명현상의 정량적 이해 (이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,45,0,"3,3",
216,SE356,01,인체의 구조와 질병 (이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,45,0,"3,3",
217,SE358,01,분자생물학(이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,60,0,"3,3",
218,SE364,01,전기전자 공학 Ⅱ (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,50,0,"3,3",영어강의(Delivered in English)
219,SE367,01,동역학 (공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English)
220,SE374b,01,신경과학 Ⅱ (이),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,60,0,"3,3",
221,SE378,01,의공학개론 (공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English)
222,SE380,01,컴퓨터 알고리즘 (이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,50,0,"3,3",동일과목 : (SE361) 컴퓨터 공학 Ⅰ (이.공)  / 영어강의(Delivered in English)
223,SE383,01,공학적설계(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,24,0,6,영어강의(Delivered in English)
224,SE386,01,시스템의 통합적 모델링(공) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,30,0,"3,3",영어강의(Delivered in English)
225,SE388,01,기구학(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,0,0,"3,3",영어강의(Delivered in English)
226,SE389,01,인공지능 입문(이.공) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,30,0,"3,3",영어강의(Delivered in English)
227,SE389,02,인공지능 입문(이.공) ,교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,30,0,"3,3",영어강의(Delivered in English)
228,SE423,01,비선형 동력계(이.공),교선필수,교과,이론,기초과학,수학,3.0,3.0,0.0,50,0,"3,3",
229,SE425a,01,응용수학특론 (이.공) - 행렬군 및 응용,교선필수,교과,이론,기초과학,수학,3.0,3.0,0.0,50,0,"3,3",동일과목 : (SE425) 응용수학방법론 (이.공) / 영어강의(Delivered in English)
230,SE434,01,응용물리특론(이.공),교선필수,교과,이론,기초과학,물리,3.0,3.0,0.0,24,0,"3,3",영어강의(Delivered in English)
231,SE451,01,감염과 면역 (이),교선필수,교과,이론,기초과학,생물,3.0,3.0,0.0,45,0,"3,3",영어강의(Delivered in English)
232,SE473,01,고체반응속도론(이.공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,0,"3,3",
233,SE475,01,기계유체역학(공),교선필수,교과,이론,기초공학,MIREBraiN,3.0,3.0,0.0,20,0,"3,3",영어강의(Delivered in English)
