id,course_no,section,title,classification,course_type,isLab,fields,areas,credit,theory,lab,limit,limit2,split,remarks
67,HL204a,01,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,"3,3",2018학번 이후 학번만 신청 가능
68,HL204a,02,동서양 철학의 통시적 이해,공통필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,"3,3",2018학번 이후 학번만 신청 가능
69,HL206,01,리더십(셀프리더십과 팀리더십) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,100,0,4,동일과목 : (HL110) 리더십(셀프리더십과 팀리더십) II
70,HL206,02,리더십(셀프리더십과 팀리더십) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,100,0,4,동일과목 : (HL110) 리더십(셀프리더십과 팀리더십) II
71,HL270a,01,융합탐구세미나 - 에너지,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),2.0,2.0,0.0,30,0,4,
72,HL270a,02,융합탐구세미나 - Fundamentals of Innovation,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),2.0,2.0,0.0,25,0,4,영어강의(Delivered in English)
73,HL301,01,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
74,HL301,02,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
75,HL301,03,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
76,HL301,04,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
77,HL301,05,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
78,HL301,06,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
79,HL301,07,Scientific Writing,공통필수,교과,이론,DGIST특성화,Scientific Writing,2.0,2.0,0.0,20,0,4,영어강의(Delivered in English)
80,HL305,01,글로벌리더십 (리더십 실습) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,100,0,4,
81,HL305,02,글로벌리더십 (리더십 실습) II,공통필수,교과,이론,DGIST특성화,리더십,1.0,2.0,0.0,100,0,4,
82,HL306,01,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,60,0,4,"동일과목 : (HL202) 기업가 정신과 사회적 책임, 2014~2017학번만 신청 가능"
83,HL306,02,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,0,0,4,"동일과목 : (HL202) 기업가 정신과 사회적 책임, 2014~2017학번만 신청 가능"
84,HL306a,01,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,120,0,4,2018학번 이후 학번만 신청 가능
85,HL306a,02,기업가 정신과 사회적 책임,공통필수,교과,이론및실습,인문소양,기술경영,3.0,2.0,1.0,0,0,4,2018학번 이후 학번만 신청 가능
86,HL320,01,근대 사회와 사상,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
87,HL321,01,현대 사회와 윤리,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
88,HL322,01,법과 사회,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
89,HL323,01,동서양문학의 이해,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
90,HL324,01,소설의 이해,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,30,0,6,
91,HL325,01,글로벌 정치경제,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,6,
92,HL326,01,경제학 입문,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,0,0,6,
93,HL327,01,과학기술과 현대사회,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,6,
94,HL328,01,과학기술사의 주요장면,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,6,
95,HL329,01,과학철학의 쟁점,교선필수,교과,이론,인문소양,인문사회,3.0,3.0,0.0,50,0,6,
96,HL330,01,인문사회과학 특강,교선필수,교과,이론,인문소양,인문사회,2.0,2.0,0.0,0,0,4,
97,HL330,02,인문사회과학 특강,교선필수,교과,이론,인문소양,인문사회,2.0,2.0,0.0,0,0,4,
